Transaction ID,Order Number,Line Number,Order Time,Order Date,Delivery Date,CustomerKey,StoreKey,ProductKey,Net Price,Unit Cost,Quantity
E277B843-9C27-54DA-6C80-7E7A11D8F3D7,Order-269500,2,18/05/2021 08:37,18/05/2021,24/05/2021 12:27,769337,999999,444,596.2387727,456.7299791,3
A26E1AAE-952B-F63F-4CCE-E1D568CE982D,Order-269500,4,18/05/2021 21:35,18/05/2021,24/05/2021 12:46,769337,999999,18,55.20364972,45.50976129,1
47BCF445-72C9-36F0-E33F-FE5F22016D83,Order-269500,1,18/05/2021 02:52,18/05/2021,24/05/2021 01:43,769337,999999,1522,386.8571354,176.2650584,1
51D8898E-A7BC-6E01-8CBF-1F47C1962958,Order-269502,0,18/05/2021 17:32,18/05/2021,18/05/2021 06:09,1071598,420,1571,66.238308,34.07340459,5
E7223807-BE59-C0BC-5C6A-2B64B9EC39F4,Order-269503,1,18/05/2021 04:08,18/05/2021,18/05/2021 07:52,10568,35,54,201.538052,88.26597514,1
10AF0865-1816-37A9-4544-29AA3C5D7138,Order-269504,1,18/05/2021 06:01,18/05/2021,20/05/2021 00:55,1337541,999999,1577,247.2445555,94.33383919,1
EBB31380-E1F9-E3A6-0B18-9767B3F1EDBF,Order-269504,3,18/05/2021 13:29,18/05/2021,20/05/2021 09:47,1337541,999999,113,164.3486033,74.55209857,1
E3C21BDF-AF0E-F8B3-09DF-BBF3E39BF32B,Order-269602,1,19/05/2021 11:37,19/05/2021,25/05/2021 05:17,990768,999999,1819,14.67586763,14.67974401,4
4EF7249F-86BC-1FDC-0F32-045F960EC2E7,Order-269700,1,20/05/2021 12:07,20/05/2021,20/05/2021 09:34,1929311,670,1632,22.11542678,10.75650228,1
5F8A762E-4FD1-43E0-8F57-9AC28E5061B8,Order-269701,0,20/05/2021 04:18,20/05/2021,20/05/2021 23:20,226184,80,2093,389.1084109,233.0949236,1
2C74E96E-8795-81DA-3458-5AB9C68128E4,Order-269703,1,20/05/2021 20:23,20/05/2021,23/05/2021 00:01,1863336,999999,648,69.16720332,60.42194801,1
DBD78622-E9B1-7CAB-C6EE-5B9E29F13A02,Order-269703,0,20/05/2021 05:23,20/05/2021,23/05/2021 22:56,1863336,999999,216,460.6295076,239.8557831,2
